epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.608,0.53487,0.66692,0.92476,0.82779,0.37663,0.37657,0.33552,0.5035,1.1393,0.9131,0.08209,9e-05,9e-05
2,41.6353,0.53804,0.61145,0.92654,0.71549,0.56416,0.53626,0.47362,0.54921,0.88254,0.94368,0.0631848,0.000184819,0.000184819
3,64.1537,0.51322,0.59288,0.90878,0.64568,0.43875,0.49585,0.43673,0.43009,1.06801,0.87627,0.0442789,0.000278907,0.000278907
4,84.9267,0.52978,0.59982,0.90863,0.45966,0.47365,0.46746,0.42095,0.40333,1.00269,0.86041,0.0253717,0.000371712,0.000371712
5,106.653,0.5115,0.56711,0.90607,0.51496,0.51058,0.47145,0.41122,0.38693,0.97626,0.85746,0.00646269,0.000462691,0.000462691
6,127.843,0.5296,0.56438,0.92401,0.47046,0.63668,0.56555,0.49945,0.41205,0.80592,0.87415,0.000487886,0.000487886,0.000487886
7,150.284,0.50652,0.5359,0.90197,0.54587,0.62679,0.64614,0.56653,0.39321,0.75139,0.86035,0.00048262,0.00048262,0.00048262
8,172.7,0.48643,0.53075,0.91059,0.4659,0.70484,0.61619,0.53066,0.40217,0.77347,0.86254,0.000476445,0.000476445,0.000476445
9,193.552,0.49397,0.50963,0.90775,0.47653,0.72063,0.61824,0.53843,0.41074,0.72715,0.86481,0.000469386,0.000469386,0.000469386
10,215.884,0.49216,0.49562,0.90176,0.52584,0.658,0.64611,0.54456,0.41769,0.76061,0.86892,0.000461471,0.000461471,0.000461471
11,236.736,0.49847,0.51154,0.90316,0.544,0.66957,0.61224,0.52744,0.40579,0.89564,0.86354,0.000452732,0.000452732,0.000452732
12,259.026,0.47924,0.51212,0.90709,0.73894,0.55245,0.65682,0.5549,0.38856,0.77409,0.85979,0.000443202,0.000443202,0.000443202
13,279.69,0.47501,0.49375,0.89602,0.64554,0.65711,0.64357,0.53664,0.3872,0.76709,0.85966,0.00043292,0.00043292,0.00043292
14,302.014,0.5107,0.52056,0.90294,0.51646,0.6626,0.5943,0.52428,0.39963,0.73205,0.86743,0.000421925,0.000421925,0.000421925
15,322.401,0.46822,0.50799,0.90778,0.51771,0.72279,0.59747,0.51138,0.43918,0.8168,0.87774,0.000410262,0.000410262,0.000410262
16,344.968,0.47148,0.49997,0.89711,0.47475,0.69457,0.5678,0.49637,0.38813,0.84492,0.85923,0.000397977,0.000397977,0.000397977
17,367.388,0.47835,0.52807,0.89944,0.58857,0.66561,0.59661,0.51392,0.37869,0.79639,0.85148,0.000385117,0.000385117,0.000385117
18,388.633,0.48978,0.49384,0.89989,0.54231,0.63839,0.61768,0.53619,0.38119,0.85861,0.85362,0.000371734,0.000371734,0.000371734
19,411.14,0.48972,0.49595,0.90315,0.57477,0.68813,0.63,0.54099,0.38673,0.74146,0.85745,0.00035788,0.00035788,0.00035788
20,432.748,0.47326,0.48088,0.89229,0.5124,0.77766,0.63627,0.5677,0.38699,0.80647,0.84935,0.000343611,0.000343611,0.000343611
21,454.701,0.4761,0.49109,0.91236,0.51232,0.69982,0.6037,0.53409,0.39796,0.86354,0.85421,0.000328982,0.000328982,0.000328982
22,475.862,0.47184,0.4681,0.9138,0.51567,0.60477,0.60528,0.54184,0.37755,0.80209,0.85148,0.000314051,0.000314051,0.000314051
23,497.353,0.46811,0.4538,0.88901,0.75874,0.52915,0.59172,0.54118,0.37411,0.75255,0.84953,0.000298877,0.000298877,0.000298877
24,519.56,0.45087,0.40767,0.88796,0.54103,0.53775,0.62112,0.54828,0.37912,0.79819,0.84521,0.00028352,0.00028352,0.00028352
25,541.349,0.46262,0.44397,0.88852,0.47881,0.75257,0.65648,0.57542,0.38039,0.69368,0.84919,0.000268041,0.000268041,0.000268041
26,562.732,0.45056,0.40259,0.89669,0.58803,0.6421,0.6523,0.5646,0.38062,0.71312,0.85401,0.0002525,0.0002525,0.0002525
27,584.558,0.44226,0.42526,0.87965,0.50848,0.72039,0.64159,0.5602,0.38797,0.73076,0.8601,0.000236959,0.000236959,0.000236959
28,605.707,0.43601,0.41127,0.88946,0.5184,0.68371,0.62595,0.54736,0.37975,0.74557,0.85466,0.00022148,0.00022148,0.00022148
29,628.728,0.46132,0.41697,0.89891,0.59437,0.67559,0.64123,0.55769,0.37873,0.79249,0.85377,0.000206123,0.000206123,0.000206123
30,650.522,0.44572,0.41462,0.88312,0.53981,0.66206,0.60557,0.52943,0.3691,0.79057,0.84899,0.000190949,0.000190949,0.000190949
31,671.506,0.43067,0.39787,0.87557,0.52707,0.69374,0.66662,0.57311,0.36622,0.77241,0.84819,0.000176018,0.000176018,0.000176018
32,693.739,0.4415,0.38977,0.88827,0.56253,0.74697,0.69554,0.59842,0.36989,0.75976,0.84937,0.000161389,0.000161389,0.000161389
33,715.715,0.42631,0.38227,0.88311,0.60024,0.77964,0.69975,0.59902,0.36982,0.77231,0.84832,0.00014712,0.00014712,0.00014712
34,737.253,0.42215,0.37582,0.88052,0.56099,0.68872,0.70543,0.60388,0.36821,0.7636,0.84992,0.000133266,0.000133266,0.000133266
35,760.84,0.43187,0.38513,0.88041,0.56435,0.64646,0.69604,0.60011,0.37008,0.75587,0.84863,0.000119883,0.000119883,0.000119883
36,782.425,0.41352,0.35099,0.86665,0.49516,0.64278,0.6537,0.57182,0.36614,0.75392,0.84746,0.000107023,0.000107023,0.000107023
37,805.335,0.44194,0.38777,0.87457,0.52382,0.7348,0.65336,0.57649,0.3668,0.73234,0.84792,9.47376e-05,9.47376e-05,9.47376e-05
38,826.614,0.41671,0.36726,0.87501,0.5273,0.71821,0.65029,0.57636,0.36888,0.73724,0.84951,8.30746e-05,8.30746e-05,8.30746e-05
39,848.814,0.41889,0.37115,0.87169,0.61783,0.66745,0.67031,0.58149,0.37005,0.77765,0.84985,7.20803e-05,7.20803e-05,7.20803e-05
40,870.734,0.42723,0.37318,0.88222,0.57016,0.65234,0.64751,0.57009,0.36507,0.78605,0.84831,6.1798e-05,6.1798e-05,6.1798e-05
41,897.892,0.35244,0.28618,0.81017,0.60314,0.7005,0.66208,0.576,0.36873,0.75125,0.84881,5.22683e-05,5.22683e-05,5.22683e-05
42,918.484,0.35621,0.28435,0.81701,0.58276,0.68561,0.66915,0.57683,0.36821,0.73217,0.84884,4.35288e-05,4.35288e-05,4.35288e-05
43,939.518,0.34479,0.28723,0.82612,0.65024,0.70093,0.69422,0.59493,0.3667,0.73863,0.84824,3.56141e-05,3.56141e-05,3.56141e-05
44,959.777,0.34631,0.26431,0.81579,0.5846,0.73148,0.6868,0.5902,0.36633,0.74954,0.84858,2.85553e-05,2.85553e-05,2.85553e-05
45,981.35,0.35423,0.30055,0.82662,0.58722,0.72912,0.69994,0.59761,0.36795,0.74455,0.84886,2.23803e-05,2.23803e-05,2.23803e-05
46,1001.46,0.34683,0.26679,0.81599,0.59817,0.72373,0.70207,0.59859,0.36729,0.73448,0.84904,1.71135e-05,1.71135e-05,1.71135e-05
47,1021.75,0.36004,0.28347,0.81996,0.60402,0.73015,0.69744,0.59647,0.3672,0.72733,0.84958,1.27757e-05,1.27757e-05,1.27757e-05
48,1041.94,0.33144,0.25964,0.81905,0.60497,0.72829,0.69446,0.59337,0.36706,0.72609,0.84968,9.38391e-06,9.38391e-06,9.38391e-06
49,1062.45,0.33401,0.27239,0.81563,0.60357,0.72871,0.6914,0.59043,0.36703,0.72966,0.84947,6.95161e-06,6.95161e-06,6.95161e-06
